Title,Production type,Status,Origin,Market presence,Age of production,Web page Link,Image Link
Clue,Play,Active,Original,USA,"Feb 27, 2024",https://www.ibdb.com/tour-production/clue-538762,https://www.ibdb.com/Cache/Production/1d982646bf28d0b2bb5071e1736cae5cc15ed060.jpg
Hamilton - Angelica,Musical,Active,National Tour,USA,"Mar 10, 2017",https://www.ibdb.com/tour-production/hamilton--angelica-504675,https://www.ibdb.com/Cache/Production/b7315a82599ac8a4e204014d2924c1feafd4e5c0.jpg
Hamilton - Philip,Musical,Active,National Tour,USA,"Feb 06, 2018",https://www.ibdb.com/tour-production/hamilton--philip-514073,https://www.ibdb.com/Cache/Production/37096c6db16cac616c37fcc9e99eb23cfc4fd7de.jpg
Harry Potter and the Cursed Child,Play,Active,Original,USA,"Sep 10, 2024",https://www.ibdb.com/tour-production/harry-potter-and-the-cursed-child-538613,https://www.ibdb.com/Cache/Production/c9714699758447e7559b096f2a39a257dbe48def.jpg
Kimberly Akimbo,Musical,Active,National Tour,USA,"Sep 14, 2024",https://www.ibdb.com/tour-production/kimberly-akimbo-539156,https://www.ibdb.com/Cache/Production/c709578e9517f96e78efa5218cdb899948193e6d.jpg
Les Misérables,Musical,Active,Original,USA,"Oct 07, 2022",https://www.ibdb.com/tour-production/les-misrables-534535,https://www.ibdb.com/Cache/Production/6880f49e8c8f91c6d7e3729a76db0b80642f2290.jpg
Life of Pi,Play,Active,National Tour,USA,"Dec 07, 2024",https://www.ibdb.com/tour-production/life-of-pi-539751,https://www.ibdb.com/Cache/Production/642299853e3e3c38efdce1ee091a9cd5a02bdc3f.jpg
Mamma Mia!,Musical,Active,Original,USA,"Oct 26, 2023",https://www.ibdb.com/tour-production/mamma-mia-537447,https://www.ibdb.com/Cache/Production/fbf87f6cbcdfbb887dce1aae417ecbb13a8d0eec.jpg
MJ,Musical,Active,National Tour,USA,"Aug 01, 2023",https://www.ibdb.com/tour-production/mj-534300,https://www.ibdb.com/Cache/Production/321c1969733bed396e7ba56dfa092853ac7ad154.jpg
Moulin Rouge! The Musical,Musical,Active,National Tour,USA,"Mar 19, 2022",https://www.ibdb.com/tour-production/moulin-rouge-the-musical-527336,https://www.ibdb.com/Cache/Production/6aa4a7f9cfe3b7b0fafea16c7524236cb056a2ae.jpg
Parade,Musical,Active,Original,USA,"Jan 11, 2025",https://www.ibdb.com/tour-production/parade-539158,https://www.ibdb.com/Cache/Production/9b67622ebb04107aa7836cd1373a6a74ad0a0d88.jpg
Shucked,Musical,Active,Original,USA,"Oct 20, 2024",https://www.ibdb.com/tour-production/shucked-539749,https://www.ibdb.com/Cache/Production/0ba61f70136106c00d15fa8991e47e92cbd90bcc.jpg
SIX: The Musical - Boleyn,Musical,Active,Original,USA,"Sep 20, 2022",https://www.ibdb.com/tour-production/six-the-musical--boleyn-534013,https://www.ibdb.com/Cache/Production/7b069488365ac48ec8b5286ab8999310f68142d2.jpg
Some Like It Hot,Musical,Active,Original,USA,"Sep 17, 2024",https://www.ibdb.com/tour-production/some-like-it-hot-539157,https://www.ibdb.com/Cache/Production/59d1cd69588c609b3c672ecfb4744cb78bf89a2b.jpg
The Lion King - Rafiki,Musical,Active,National Tour,USA,"Oct 26, 2017",https://www.ibdb.com/tour-production/the-lion-king--rafiki-515415,https://www.ibdb.com/Cache/Production/5eb82037f33f3f47fa87ebd1d3b1f70e81321b5a.jpg
The Wiz,Musical,Active,Revival,USA,"Feb 22, 2025",https://www.ibdb.com/tour-production/the-wiz-542330,https://www.ibdb.com/Cache/Production/3fceff092cd3e4a07d6c2e35219d4f56315380ae.jpg
Wicked - Munchkinland,Musical,Active,National Tour,USA,"Mar 07, 2009",https://www.ibdb.com/tour-production/wicked--munchkinland-500380,https://www.ibdb.com/Cache/Production/60a4073716e1027ae1768ca5ce9d3e4d2e2e1706.jpg
Beauty and the Beast,Musical,Upcoming,Revival,USA,"Jun 25, 2025",https://www.ibdb.com/tour-production/beauty-and-the-beast-543074,https://www.ibdb.com/Cache/Production/56abe2b68ae151870e1a434e8b33f7c3d6b255d0.jpg
Hell's Kitchen,Musical,Upcoming,National Tour,USA,"Oct 10, 2025",https://www.ibdb.com/tour-production/hells-kitchen-543112,https://www.ibdb.com/Cache/Production/b1ed26e0c1fb92124233aeaad36bd699ac624857.jpg
Spamalot,Musical,Upcoming,Revival,USA,"Dec 01, 2025",https://www.ibdb.com/tour-production/spamalot-543116,https://www.ibdb.com/Cache/Production/9469bae699b78f814cddb395ea6e5b48d64c1663.jpg
Stereophonic,Play,Upcoming,National Tour,USA,"Oct 07, 2025",https://www.ibdb.com/tour-production/stereophonic-543117,https://www.ibdb.com/Cache/Production/4aff5d3a8073ea69d1cf19a64a2003d4317f8ea3.jpg
Suffs,Musical,Upcoming,National Tour,USA,"Sep 13, 2025",https://www.ibdb.com/tour-production/suffs-542652,https://www.ibdb.com/Cache/Production/a0f7320be3ac4d419ac5a0506d60897fd8f08591.jpg
The Great Gatsby,Musical,Upcoming,National Tour,USA,"Jan 31, 2026",https://www.ibdb.com/tour-production/the-great-gatsby-543111,https://www.ibdb.com/Cache/Production/81e4659286ebc7250b46cb662af13244a04f638d.jpg
The Notebook,Musical,Upcoming,National Tour,USA,"Sep 06, 2025",https://www.ibdb.com/tour-production/the-notebook-542788,https://www.ibdb.com/Cache/Production/ad12a941776645d28344e834615414d061773f09.jpg
The Outsiders,Musical,Upcoming,National Tour,USA,"Sep 17, 2025",https://www.ibdb.com/tour-production/the-outsiders-543113,https://www.ibdb.com/Cache/Production/f4696362bdab4a6ff8703fa49bf61682a035df5e.jpg
The Phantom of the Opera,Musical,Upcoming,Revival,USA,"Nov 07, 2025",https://www.ibdb.com/tour-production/the-phantom-of-the-opera-543114,https://www.ibdb.com/Cache/Production/083017d50cc2cd320e5fde35f7172fb6c7cf937b.jpg
The Sound of Music,Musical,Upcoming,Revival,USA,"Sep 05, 2025",https://www.ibdb.com/tour-production/the-sound-of-music-543115,https://www.ibdb.com/Cache/Production/31bbfb6e072773babbcb7563395dc647700a47fb.jpg
